x,y1,y2
1,15284.858879999974,15284.858879999974
2,15668.32070656001,15434.004382719999
3,15487.968517119998,15376.903884799995
4,15489.936983039994,15369.415767039996
5,15492.740889600003,15373.548011520004
6,15494.94431232,15378.430719999998
7,15497.304919040003,15382.716067839994
8,15499.393121280002,15384.774635519996
9,15501.852892160006,15386.616576
10,15504.748334079999,15390.416972799998
11,15507.227868160007,15394.355471360004
12,15509.333652479998,15397.226352639998
13,15511.319966720002,15398.686868480001
14,15513.693240319997,15398.73559551999
15,15515.653862400004,15399.776706560002
16,15518.185333760006,15401.340446720002
17,15520.545367039995,15402.861864960003
18,15522.854261760003,15404.962718720002
19,15524.651832320003,15407.646054399998
20,15527.044234240002,15409.034803199997
21,15529.445207039998,15409.762129919995
22,15531.950218240005,15410.851850239998
23,15534.485795839999,15410.900116479996
24,15536.81690112,15412.183203840003
25,15539.137182720004,15413.037409279996
26,15541.495075840003,15414.013532160006
27,15544.212925440002,15415.598018559998
28,15546.982630399994,15416.475653120002
29,15549.337471999996,15416.88918528
30,15551.681121280004,15418.158842880004
31,15553.801077759997,15419.064171520005
32,15556.07565824,15420.404336640004
33,15558.690452480001,15421.803955200003
34,15560.95889920001,15423.432744959988
35,15563.131284479992,15425.496499199997
36,15565.404410879999,15426.886855680004
37,15567.744261120006,15428.505835519998
38,15570.477982719993,15429.952286719994
39,15572.380308480002,15431.775242239994
40,15574.690943999998,15433.5036416
41,15577.006545920001,15434.818590719991
42,15579.114705920008,15435.999605760002
43,15581.669555199996,15437.318430720003
44,15584.433802240002,15438.362265599999
45,15586.579246079998,15439.668055039998
46,15589.396689920002,15441.1968
47,15592.2600704,15443.531146240002
48,15594.309319680002,15445.130204160005
49,15597.09051392001,15447.123635200001
50,15599.277870079995,15448.40642560001
51,15602.039628799996,15450.126428160002
52,15604.297917439999,15451.686461439995
53,15606.266516480006,15453.288028159996
54,15608.989783040004,15454.87986176
55,15611.162485760002,15456.644372480001
56,15613.485614079991,15458.077629439997
57,15615.888706559997,15459.483985919996
58,15618.032614400001,15460.809518080005
59,15620.919669760002,15462.21597696
60,15622.504104960002,15463.715138560003
61,15624.669373439998,15465.303777279996
62,15627.175654400002,15467.0625024
63,15629.306926079993,15468.722027520002
64,15631.863188479994,15470.428231679994
65,15633.961477120005,15471.96952064
66,15636.197831679994,15473.970140159996
67,15638.31182848,15475.774607360006
68,15640.562099200002,15476.89216
69,15643.376040959994,15478.535521279995
70,15645.517204479991,15480.167613439993
71,15648.313748479995,15481.510333439997
72,15650.516812800013,15483.211397119996
73,15652.769039359997,15484.689433600004
74,15655.057617920003,15485.412008959996
75,15657.45883648,15485.925171199993
76,15659.799577599995,15487.64261888
77,15661.670507520004,15489.825525760001
78,15664.381742080002,15491.274721279995
79,15666.948531200002,15493.174205440002
80,15669.123240959998,15494.791731199992
81,15671.412413439997,15496.040442879994
82,15674.013148159995,15497.720427520006
83,15676.825461760003,15499.203322879997
84,15679.333510464645,15500.385771519997
85,15681.548820686872,15502.271560404048
86,15683.788691393936,15502.661895757583
87,15685.96746343434,15504.389404444444
88,15688.40519369697,15504.80728953535
89,15690.893968808086,15505.893525979802
90,15692.766197656576,15507.781776808088
91,15695.42955442424,15508.718928161623
92,15697.654597818182,15510.686833777778
93,15699.765997898989,15511.877047595954
94,15702.658910040816,15512.79679094949
95,15705.195676294741,15514.803085061225
96,15707.452879494738,15516.876465852638
97,15710.263944170214,15518.68862787369
98,15712.68735455319,15520.682392510635
99,15716.015795744675,15522.08874212766
100,15719.16015304348,15523.189046468086
101,15721.628109913041,15524.145341217389
102,15724.394796521738,15526.113574956526
103,15726.671593739127,15527.556997565222
104,15729.545472000013,15528.76870121739
105,15731.518925913047,15529.898980173915
106,15733.692809846156,15529.734594782605
107,15735.980313318676,15530.962341978027
108,15738.771118545457,15532.384604835164
109,15740.907409454552,15532.584029090904
